city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Mortugaba,2921807.0,2020-07-01,True,10,0.0,0,0,0,-15.0225,-42.3727
Mucugê,2921906.0,2020-07-01,True,11,0.0,0,0,0,-13.0053,-41.3703
Mucuri,2922003.0,2020-07-01,True,159,0.0126,2,10,0,-18.0754,-39.5565
Mulungu do Morro,2922052.0,2020-07-01,True,8,0.125,1,1,0,-11.9648,-41.6374
Mundo Novo,2922102.0,2020-07-01,True,1,1.0,1,0,0,-11.8541,-40.4714
Muniz Ferreira,2922201.0,2020-07-01,True,11,0.0,0,1,0,-13.0092,-39.1092
Muquém de São Francisco,2922250.0,2020-07-01,True,23,0.0,0,3,0,-12.065,-43.5497
Muritiba,2922300.0,2020-07-01,True,75,0.0133,1,5,0,-12.6329,-38.9921
Mutuípe,2922409.0,2020-07-01,True,27,0.0,0,0,0,-13.2284,-39.5044
Nazaré,2922508.0,2020-07-01,True,44,0.0,0,5,0,-13.0235,-39.0108
Nilo Peçanha,2922607.0,2020-07-01,True,30,0.0333,1,4,0,-13.604000000000001,-39.1091
Nordestina,2922656.0,2020-07-01,True,55,0.0,0,2,0,-10.8192,-39.4297
Nova Canaã,2922706.0,2020-07-01,True,22,0.0,0,9,0,-14.7912,-40.1458
Nova Fátima,2922730.0,2020-07-01,True,5,0.2,1,0,0,-11.6031,-39.6302
Nova Ibiá,2922755.0,2020-07-01,True,38,0.0526,2,8,0,-13.812000000000001,-39.6182
Nova Itarana,2922805.0,2020-07-01,True,2,0.0,0,1,0,-13.0241,-40.0653
Nova Redenção,2922854.0,2020-07-01,True,3,0.0,0,0,0,-12.815,-41.0748
Nova Soure,2922904.0,2020-07-01,True,72,0.0,0,20,0,-11.2329,-38.4871
Nova Viçosa,2923001.0,2020-07-01,True,149,0.0201,3,3,0,-17.8926,-39.3743
Novo Horizonte,2923035.0,2020-07-01,True,0,0.0,0,0,0,-12.8083,-42.1682
Novo Triunfo,2923050.0,2020-07-01,True,20,0.0,0,7,0,-10.3182,-38.4014
Olindina,2923100.0,2020-07-01,True,17,0.0,0,3,0,-11.3497,-38.3379
Oliveira dos Brejinhos,2923209.0,2020-07-01,True,41,0.0,0,0,0,-12.3132,-42.8969
Ouriçangas,2923308.0,2020-07-01,True,10,0.0,0,1,0,-12.0175,-38.6166
Ourolândia,2923357.0,2020-07-01,True,8,0.0,0,1,0,-10.9578,-41.0756
Palmas de Monte Alto,2923407.0,2020-07-01,True,18,0.0,0,0,0,-14.2676,-43.1609
Palmeiras,2923506.0,2020-07-01,True,3,0.0,0,1,0,-12.5059,-41.5809
Paramirim,2923605.0,2020-07-01,True,6,0.1667,1,0,0,-13.4388,-42.2395
Paratinga,2923704.0,2020-07-01,True,11,0.0,0,0,0,-12.687000000000001,-43.1798
Paripiranga,2923803.0,2020-07-01,True,23,0.0,0,1,0,-10.6859,-37.8626
Pau Brasil,2923902.0,2020-07-01,True,30,0.1,3,0,0,-15.4572,-39.6458
Paulo Afonso,2924009.0,2020-07-01,True,176,0.0398,7,3,0,-9.3983,-38.2216
Pedro Alexandre,2924207.0,2020-07-01,True,3,0.0,0,0,0,-10.012,-37.8932
Pedrão,2924108.0,2020-07-01,True,2,0.0,0,1,0,-12.1491,-38.6487
Piatã,2924306.0,2020-07-01,True,7,0.0,0,0,0,-13.1465,-41.7702
Pilão Arcado,2924405.0,2020-07-01,True,49,0.0,0,1,0,-10.0051,-42.4936
Pindaí,2924504.0,2020-07-01,True,17,0.0,0,0,0,-14.4921,-42.68600000000001
Pindobaçu,2924603.0,2020-07-01,True,21,0.0,0,0,0,-10.7433,-40.3675
Pintadas,2924652.0,2020-07-01,True,80,0.0,0,0,0,-11.8117,-39.9009
Piraí do Norte,2924678.0,2020-07-01,True,45,0.0,0,0,0,-13.759,-39.3836
